episode,high_tile,steps
1475,1024,941
1476,512,428
1477,2048,1389
1478,512,550
1479,512,491
1480,512,497
1481,512,507
1482,512,523
1483,512,367
1484,256,280
1485,512,475
1486,512,518
1487,512,589
1488,128,140
1489,1024,1108
1490,512,387
1491,512,560
1492,512,540
1493,512,591
1494,1024,687
1495,512,578
1496,256,359
1497,512,531
1498,128,148
1499,256,324
1500,512,576
1501,512,492
1502,128,147
1503,512,443
1504,512,432
1505,512,411
1506,512,293
1507,512,400
1508,256,399
1509,512,557
1510,512,422
1511,512,566
1512,512,537
1513,256,249
1514,256,306
1515,512,505
1516,1024,946
1517,256,262
1518,256,355
1519,1024,600
1520,128,191
1521,512,469
1522,512,380
1523,128,182
1524,512,605
1525,512,489
1526,32,75
1527,512,406
1528,512,431
1529,256,263
1530,1024,608
1531,512,545
1532,512,313
1533,512,558
1534,512,535
1535,1024,712
1536,256,254
1537,256,272
1538,256,270
1539,128,191
1540,512,446
1541,256,263
1542,512,398
1543,128,178
1544,1024,791
1545,128,144
1546,128,117
1547,256,308
1548,256,305
1549,512,463
1550,512,409
1551,512,497
1552,512,483
1553,512,527
1554,512,514
1555,256,228
1556,256,255
1557,1024,651
1558,128,167
1559,512,451
1560,512,483
1561,256,324
1562,512,535
1563,512,414
1564,256,313
1565,1024,744
1566,512,568
1567,1024,744
1568,128,115
1569,512,518
1570,512,496
1571,256,269
1572,512,414
1573,256,183
1574,512,405
1575,256,229
1576,512,393
1577,256,248
1578,256,207
1579,512,412
1580,512,471
1581,256,236
1582,512,462
1583,512,508
1584,512,561
1585,256,325
1586,512,419
1587,512,587
1588,512,431
1589,256,231
1590,512,643
1591,512,462
1592,256,388
1593,512,511
1594,512,500
1595,512,435
1596,512,643
1597,256,265
1598,256,373
1599,256,289
1600,512,352
1601,128,159
1602,256,288
1603,512,468
1604,512,561
1605,256,303
1606,256,210
1607,64,103
1608,512,652
1609,256,304
1610,512,564
1611,512,452
1612,256,318
1613,256,292
1614,256,213
1615,512,515
1616,256,270
1617,512,455
1618,128,154
1619,512,447
1620,128,206
1621,256,329
1622,512,394
1623,64,126
1624,256,269
1625,1024,702
1626,512,464
1627,256,360
1628,128,190
1629,512,380
1630,512,526
1631,128,114
1632,256,219
1633,1024,640
1634,256,261
1635,128,195
1636,512,364
1637,256,266
1638,512,425
1639,256,329
1640,512,416
1641,256,281
1642,512,513
1643,256,291
1644,1024,673
1645,256,239
1646,512,395
1647,512,381
1648,64,96
1649,1024,990
1650,1024,630
1651,256,289
1652,256,253
1653,256,318
1654,128,162
1655,512,464
1656,128,153
1657,512,349
1658,256,188
1659,512,439
1660,128,152
1661,256,248
1662,64,143
1663,512,403
1664,256,337
1665,256,352
1666,256,208
1667,256,286
1668,256,357
1669,256,241
1670,128,170
1671,256,406
1672,256,292
1673,256,253
1674,128,174
1675,256,364
1676,128,148
1677,128,251
1678,256,252
1679,256,334
1680,256,389
1681,128,220
1682,128,222
1683,256,261
1684,256,265
1685,256,302
1686,512,519
1687,128,165
1688,128,157
1689,512,441
1690,256,335
1691,64,124
1692,512,386
1693,128,208
1694,128,179
1695,256,325
1696,512,506
1697,128,161
1698,512,437
1699,512,441
1700,512,422
1701,256,217
1702,256,260
1703,256,267
1704,256,188
1705,256,251
1706,128,166
1707,256,269
1708,256,262
1709,512,380
1710,128,160
1711,256,291
1712,512,566
1713,512,378
1714,32,77
1715,256,375
1716,128,149
1717,512,384
1718,256,212
1719,512,425
1720,512,417
1721,256,207
1722,1024,756
1723,256,306
1724,256,398
1725,256,349
1726,256,270
1727,512,446
1728,512,335
1729,256,270
1730,256,348
1731,256,255
1732,512,491
1733,512,541
1734,64,110
1735,256,252
1736,512,470
